id,name,bic,country/id,zip,city,street,email,phone
bank_ng_215,QUICKFUND MFB,090261,base.ng,,,,,
bank_ng_216,ROCKSHIELD MICROFINANCE BANK,50767,base.ng,,,,,
bank_ng_217,RAHAMA MFB,090170,base.ng,,,,,
bank_ng_218,RAND MERCHANT BANK,000024,base.ng,,,,,
bank_ng_219,REFUGE MORTGAGE BANK,070011,base.ng,,,,,
bank_ng_220,REGENT MFB,090125,base.ng,,,,,
bank_ng_221,RELIANCE MFB,090173,base.ng,,,,,
bank_ng_222,RENMONEY MFB,090198,base.ng,,,,,
bank_ng_223,RICHWAY MFB,090132,base.ng,,,,,
bank_ng_224,ROLEZ BANK,090405,base.ng,,,,,
bank_ng_225,ROYAL EXCHANGE MFB,090138,base.ng,,,,,
bank_ng_226,RUBIES MFB,090175,base.ng,,,,,
bank_ng_227,SAFE HAVEN MFB,090286,base.ng,,,,,
bank_ng_228,SAFETRUST MORTGAGE BANK,090006,base.ng,,,,,
bank_ng_229,SAGAMU MFB,090140,base.ng,,,,,
bank_ng_230,SEED CAPITAL MFB,090112,base.ng,,,,,
bank_ng_231,SHIELD MFB,50582,base.ng,,,,,
bank_ng_232,SOLID ROCK MFB,50800,base.ng,,,,,
bank_ng_233,SPARKLE BANK,090325,base.ng,,,,,
bank_ng_234,STANBIC IBTC,000012,base.ng,,,,,
bank_ng_235,STANBIC IBTC @EASE WAL,100007,base.ng,,,,,
bank_ng_236,STANDARD CHARTERED BANK,000021,base.ng,,,,,
bank_ng_237,STANFORD MFB,090162,base.ng,,,,,
bank_ng_238,STELLAS MFB,090262,base.ng,,,,,
bank_ng_239,STERLING BANK,000001,base.ng,,,,,
bank_ng_240,SULSPAP MFB,090305,base.ng,,,,,
bank_ng_241,SUNTRUST BANK,000022,base.ng,,,,,
bank_ng_242,SUPREME MFB,50968,base.ng,,,,,
bank_ng_243,TCF MFB,090115,base.ng,,,,,
bank_ng_244,TAGPAY,100023,base.ng,,,,,
bank_ng_245,TAJ BANK,000026,base.ng,,,,,
bank_ng_246,TANADI MICROFINANCE BANK,090560,base.ng,,,,,
bank_ng_247,TEAMAPT,110007,base.ng,,,,,
bank_ng_248,TEASY MOBILE,100010,base.ng,,,,,
bank_ng_249,TITAN TRUST BANK,000025,base.ng,,,,,
bank_ng_250,TRIDENT MFB,090146,base.ng,,,,,
bank_ng_251,TRUSTBANC J6 MFB,090123,base.ng,,,,,
bank_ng_252,TRUSTFUND MFB,090276,base.ng,,,,,
bank_ng_253,U&C MICROFINANCE BANK LTD (U AND C MFB),50840,base.ng,,,,,
bank_ng_254,UNIBEN MFB,090266,base.ng,,,,,
bank_ng_255,UNICAL MFB,090193,base.ng,,,,,
bank_ng_256,UHURU MFB,MFB51321,base.ng,,,,,
bank_ng_257,UNAAB MICROFINANCE BANK LIMITED,50870,base.ng,,,,,
bank_ng_258,UNILAG MICROFINANCE BANK,51316,base.ng,,,,,
bank_ng_259,UNION BANK OF NIGERIA,000018,base.ng,,,,,
bank_ng_260,UNITED BANK FOR AFRICA,000004,base.ng,,,,,
bank_ng_261,UNITY BANK,000011,base.ng,,,,,
bank_ng_262,UNN MFB,090251,base.ng,,,,,
bank_ng_263,VFD MFB,090110,base.ng,,,,,
bank_ng_264,VIRTUE MFB,090150,base.ng,,,,,
bank_ng_265,VISA MFB,090139,base.ng,,,,,
bank_ng_266,VTNETWORK,100012,base.ng,,,,,
bank_ng_267,WEMA BANK,000017,base.ng,,,,,
bank_ng_268,WETLAND MFB,090120,base.ng,,,,,
bank_ng_269,XSLNCE MFB,090124,base.ng,,,,,
bank_ng_270,YES MFB,090142,base.ng,,,,,
bank_ng_271,ZENITH BANK,000015,base.ng,,,,,
bank_ng_272,ZENITH MOBILE,100018,base.ng,,,,,
bank_ng_273,ZINTERNET,100025,base.ng,,,,,
bank_ng_000,BANK VAULT (COMPANY),100001,base.ng,,,,,
